raceId,driverId,constructorId,qualifying_position,starting_grid,race_finish_position,year,race_name,driver_name,nationality,constructor_name,position_change
25,22,11,18,20,14,2008,French Grand Prix,Rubens Barrichello,Brazilian,Honda,4
25,21,10,19,17,18,2008,French Grand Prix,Giancarlo Fisichella,Italian,Force India,1
25,16,10,20,18,19,2008,French Grand Prix,Adrian Sutil,German,Force India,1
26,5,1,1,1,5,2008,British Grand Prix,Heikki Kovalainen,Finnish,McLaren,-4
26,17,9,2,2,10,2008,British Grand Prix,Mark Webber,Australian,Red Bull,-8
26,8,6,3,3,4,2008,British Grand Prix,Kimi Räikkönen,Finnish,Ferrari,-1
26,1,1,4,4,1,2008,British Grand Prix,Lewis Hamilton,British,McLaren,3
26,2,2,5,5,2,2008,British Grand Prix,Nick Heidfeld,German,BMW Sauber,3
26,4,4,6,6,6,2008,British Grand Prix,Fernando Alonso,Spanish,Renault,0
26,12,4,7,7,16,2008,British Grand Prix,Nelson Piquet Jr.,Brazilian,Renault,-9
26,20,5,8,8,19,2008,British Grand Prix,Sebastian Vettel,German,Toro Rosso,-11
26,13,6,9,9,13,2008,British Grand Prix,Felipe Massa,Brazilian,Ferrari,-4
26,9,2,10,10,14,2008,British Grand Prix,Robert Kubica,Polish,BMW Sauber,-4
26,14,9,11,11,20,2008,British Grand Prix,David Coulthard,British,Red Bull,-9
26,10,7,12,12,12,2008,British Grand Prix,Timo Glock,German,Toyota,0
26,7,5,13,13,11,2008,British Grand Prix,Sébastien Bourdais,French,Toro Rosso,2
26,15,7,14,14,7,2008,British Grand Prix,Jarno Trulli,Italian,Toyota,7
26,6,3,15,15,8,2008,British Grand Prix,Kazuki Nakajima,Japanese,Williams,7
26,22,11,16,16,3,2008,British Grand Prix,Rubens Barrichello,Brazilian,Honda,13
26,18,11,17,17,15,2008,British Grand Prix,Jenson Button,British,Honda,2
26,3,3,18,20,9,2008,British Grand Prix,Nico Rosberg,German,Williams,9
