qualifying_position,actual_finish,predicted_finish,error
15,13,13.376540961212008,-0.3765409612120081
6,4,8.21209204555732,-4.21209204555732
13,11,12.228885646622075,-1.228885646622075
12,7,11.655057989327112,-4.655057989327112
10,8,10.50740267473718,-2.5074026747371807
19,16,15.671851590391867,0.32814840960813285
13,14,12.228885646622075,1.771114353377925
17,19,14.524196275801938,4.475803724198062
17,19,14.524196275801938,4.475803724198062
15,13,13.376540961212008,-0.3765409612120081
17,16,14.524196275801938,1.4758037241980624
18,13,15.0980239330969,-2.0980239330969006
3,2,6.490609073672424,-4.490609073672424
26,23,19.688645191456622,3.3113548085433777
11,7,11.081230332032145,-4.0812303320321455
14,15,12.802713303917042,2.1972866960829585
1,1,5.342953759082494,-4.342953759082494
12,18,11.655057989327112,6.344942010672888
3,4,6.490609073672424,-2.490609073672424
8,22,9.35974736014725,12.64025263985275
15,19,13.376540961212008,5.623459038787992
19,7,15.671851590391867,-8.671851590391867
11,10,11.081230332032145,-1.0812303320321455
13,2,12.228885646622075,-10.228885646622075
16,18,13.950368618506971,4.049631381493029
16,19,13.950368618506971,5.049631381493029
